"number","created_by","created_at","state","closed_by","closed_at"
"1357","daavve","2016-09-28 06:11:17","closed","tilgovi","2016-10-13 20:01:40"
"1356","odedhar","2016-09-25 19:58:18","closed","benoitc","2016-11-21 08:34:10"
"1355","naegelin","2016-09-23 13:36:14","closed","berkerpeksag","2016-09-23 13:38:35"
"1354","hynek","2016-09-21 13:43:30","closed","hynek","2016-09-21 16:32:49"
"1353","rsm-gh","2016-09-21 08:48:25","closed","tilgovi","2016-12-21 03:21:42"
"1352","hynek","2016-09-20 14:04:58","closed","tilgovi","2016-10-01 20:03:56"
"1351","zhulongcheng","2016-09-11 08:21:08","closed","berkerpeksag","2016-09-11 08:56:29"
"1350","PBrockmann","2016-09-08 17:33:10","closed","PBrockmann","2016-09-09 14:11:56"
"1349","dimaqq","2016-09-08 09:46:29","open","",""
"1348","vickysam","2016-09-07 06:45:57","closed","berkerpeksag","2016-09-17 10:18:30"
"1347","vickysam","2016-09-05 14:24:35","closed","vickysam","2016-09-07 06:45:10"
"1346","berkerpeksag","2016-09-05 12:57:39","closed","berkerpeksag","2016-09-17 10:17:42"
"1345","vickysam","2016-09-05 12:28:52","closed","vickysam","2016-09-05 12:54:57"
"1344","kirubakaran","2016-08-31 15:40:08","closed","berkerpeksag","2016-10-15 12:18:49"
"1343","nate-opti","2016-08-29 22:47:28","open","",""
"1342","jameelgrand","2016-08-29 09:12:49","closed","jameelgrand","2016-08-30 15:01:20"
"1341","jameelgrand","2016-08-29 05:35:21","closed","berkerpeksag","2016-08-29 14:44:53"
"1340","Changaco","2016-08-28 22:36:15","closed","benoitc","2016-10-16 15:46:33"
"1339","zimathias","2016-08-27 23:39:21","closed","berkerpeksag","2016-09-23 13:56:05"
"1338","diogobaeder","2016-08-25 20:35:54","open","",""
"1337","cadina","2016-08-25 15:44:00","open","",""
"1336","nhumrich","2016-08-25 03:03:26","closed","asvetlov","2016-08-30 16:24:09"
"1335","lamby","2016-08-23 17:56:24","open","",""
"1334","ptbrowne","2016-08-23 11:22:23","closed","tilgovi","2016-10-03 19:52:20"
"1333","ptbrowne","2016-08-23 11:21:48","closed","benoitc","2016-10-16 16:32:51"
"1332","telking","2016-08-21 09:59:58","closed","benoitc","2016-10-16 15:47:46"
"1331","mleva-bnet","2016-08-16 23:51:49","open","",""
"1330","darkrain42","2016-08-16 04:37:46","open","",""
"1329","fillest","2016-08-12 00:44:48","closed","tilgovi","2016-12-20 23:20:56"
"1328","szabgab","2016-08-10 12:37:08","closed","berkerpeksag","2016-08-10 13:11:02"
"1327","bsergean","2016-08-08 21:01:09","open","",""
