"number","created_by","created_at","state","closed_by","closed_at"
"1951","inpool","2016-05-09 10:38:13","closed","inpool","2016-05-09 13:52:42"
"1950","skinless8","2016-05-08 18:57:54","closed","justinmayer","2016-05-11 12:28:48"
"1949","dmark","2016-05-06 14:50:20","closed","justinmayer","2016-09-22 22:06:42"
"1948","muellermartin","2016-05-05 14:50:03","open","",""
"1947","magul","2016-05-04 18:30:25","closed","justinmayer","2016-09-22 22:10:12"
"1946","machow","2016-04-21 23:13:27","closed","justinmayer","2016-10-29 18:55:00"
"1945","chriskrycho","2016-04-17 15:15:03","closed","justinmayer","2016-05-24 10:51:44"
"1944","fusion809","2016-04-15 11:36:18","closed","fusion809","2016-08-11 23:46:14"
"1943","isbm","2016-04-13 10:38:17","closed","justinmayer","2016-08-20 14:31:47"
"1942","muellermartin","2016-04-12 20:59:50","closed","justinmayer","2016-04-13 20:18:39"
"1941","MarloweW","2016-04-11 07:32:28","closed","MarloweW","2016-04-27 07:01:50"
"1940","raymestalez","2016-04-11 04:38:01","closed","raymestalez","2016-04-11 20:32:07"
"1939","torypages","2016-04-09 13:05:41","closed","justinmayer","2016-04-09 16:31:20"
"1938","dmdm","2016-04-05 18:53:41","closed","justinmayer","2016-04-08 17:39:58"
"1937","karlcow","2016-04-04 08:08:22","closed","justinmayer","2016-04-08 16:13:53"
"1936","hanskoff","2016-03-31 10:08:13","closed","justinmayer","2016-03-31 20:09:15"
"1935","pradyunsg","2016-03-29 11:11:11","closed","justinmayer","2016-09-11 15:20:30"
"1934","livibetter","2016-03-29 00:16:14","closed","livibetter","2016-05-01 01:31:09"
"1933","scarpent","2016-03-26 13:04:47","closed","justinmayer","2016-04-08 16:13:59"
"1932","golfecholima","2016-03-22 07:10:06","closed","golfecholima","2016-03-25 21:47:11"
"1931","iKevinY","2016-03-20 23:49:07","closed","justinmayer","2016-03-21 00:15:58"
"1930","scarpent","2016-03-20 22:34:23","closed","justinmayer","2016-03-21 14:30:36"
"1929","stefanv","2016-03-18 06:47:23","closed","justinmayer","2016-03-29 18:13:36"
"1928","Natim","2016-03-15 22:15:00","open","",""
"1927","Scheirle","2016-03-14 18:21:41","closed","justinmayer","2016-11-02 22:57:25"
"1926","atodorov","2016-03-13 22:19:35","closed","justinmayer","2016-05-02 16:12:07"
"1925","KrisLeeCoder","2016-03-10 11:14:45","closed","justinmayer","2016-03-10 14:32:54"
"1924","lee-b","2016-03-06 13:15:47","closed","lee-b","2016-03-06 13:59:25"
"1923","Jangsea","2016-03-03 06:27:06","closed","justinmayer","2016-04-04 01:51:23"
"1922","Jangsea","2016-03-02 12:05:53","closed","justinmayer","2016-03-15 23:17:45"
"1921","honzajavorek","2016-02-28 18:01:13","closed","honzajavorek","2016-02-29 08:43:10"
"1920","honzajavorek","2016-02-28 12:08:20","open","",""
"1919","justinmayer","2016-02-26 00:36:21","closed","almet","2016-03-01 16:29:38"
"1918","livibetter","2016-02-25 07:04:40","closed","livibetter","2016-03-31 21:53:40"
"1917","ploxiln","2016-02-19 23:30:25","closed","justinmayer","2016-03-25 05:08:38"
"1916","justinmayer","2016-02-19 21:08:04","closed","justinmayer","2016-09-27 16:05:51"
"1915","dhimmel","2016-02-19 05:48:17","closed","justinmayer","2016-02-23 19:31:35"
"1914","mitchtbaum","2016-02-19 05:32:01","open","",""
"1913","Scheirle","2016-02-18 07:43:33","closed","Scheirle","2016-02-18 11:27:20"
"1912","mlissner","2016-02-18 01:43:03","closed","justinmayer","2016-09-30 12:13:56"
"1911","adamatan","2016-02-17 13:43:28","closed","justinmayer","2016-02-19 21:37:35"
"1910","kiddick","2016-02-16 13:39:59","closed","kiddick","2016-02-17 09:36:07"
"1909","atodorov","2016-02-11 20:43:37","open","",""
"1908","wanglihe","2016-02-06 08:14:55","open","",""
"1907","sukiletxe","2016-02-04 21:07:39","open","",""
"1906","Dokument","2016-02-04 20:52:11","closed","justinmayer","2016-10-22 21:37:51"
