"number","created_by","created_at","state","commits","merged_by","merged_at"
"1858","meisterluk","2015-11-05 21:33:36","closed","0","justinmayer","2015-11-08 05:39:45"
"1856","ingwinlu","2015-11-03 15:54:21","closed","1","justinmayer","2015-11-03 16:08:07"
"1854","ingwinlu","2015-11-03 09:25:24","closed","1","justinmayer","2015-11-03 16:09:51"
"1852","xenithorb","2015-10-29 15:38:42","closed","0","justinmayer","2015-11-09 17:38:21"
"1850","ingwinlu","2015-10-20 08:33:55","closed","7","justinmayer","2015-11-03 15:22:13"
"1848","ingwinlu","2015-10-19 16:36:18","closed","3","",""
"1846","ingwinlu","2015-10-17 15:01:58","closed","2","justinmayer","2015-10-18 21:36:53"
"1844","ingwinlu","2015-10-13 10:33:11","closed","2","justinmayer","2015-10-23 17:42:21"
"1843","ingwinlu","2015-10-13 08:33:32","closed","1","",""
"1842","ingwinlu","2015-10-13 08:29:07","closed","1","justinmayer","2015-10-24 16:30:12"
"1837","SimonStJG","2015-10-04 18:35:02","closed","1","justinmayer","2015-11-02 21:44:56"
"1833","JeremyMorgan","2015-10-01 05:33:39","open","1","",""
"1832","meisterluk","2015-10-01 00:47:52","closed","0","",""
"1828","andreacorbellini","2015-09-22 18:55:36","closed","1","justinmayer","2015-09-23 16:00:09"
"1827","TC01","2015-09-21 04:32:50","closed","1","justinmayer","2015-10-11 23:32:20"
"1826","lazycoder-ru","2015-09-20 21:20:34","open","1","",""
"1825","LeResKP","2015-09-17 06:58:19","closed","1","",""
"1823","onur","2015-09-14 23:34:43","closed","0","justinmayer","2015-09-19 19:27:32"
"1819","ingwinlu","2015-09-11 20:10:48","closed","1","justinmayer","2015-09-13 14:40:30"
"1816","oseledets","2015-09-08 08:10:36","open","1","",""
"1814","ingwinlu","2015-09-05 08:57:32","closed","1","justinmayer","2015-09-05 14:36:19"
"1813","andreacorbellini","2015-09-04 14:52:42","closed","1","justinmayer","2015-09-23 15:58:55"
"1807","fernandezcuesta","2015-08-26 09:50:21","closed","0","justinmayer","2015-08-27 16:16:46"
"1806","lionel-panhaleux","2015-08-21 11:42:59","open","2","",""
"1804","lionel-panhaleux","2015-08-19 17:17:05","closed","2","",""
"1803","jvehent","2015-08-19 16:28:46","closed","1","justinmayer","2015-08-19 19:50:13"
"1802","andreacorbellini","2015-08-19 14:50:29","closed","1","justinmayer","2015-08-28 17:18:44"
"1801","Barakat","2015-08-19 05:14:12","closed","0","",""
"1800","kbotnen","2015-08-17 20:15:19","open","1","",""
"1798","boite","2015-08-11 19:14:24","closed","1","kylef","2015-08-11 22:14:48"
"1797","TC01","2015-08-10 20:06:54","closed","1","justinmayer","2015-09-01 03:17:59"
"1795","ingwinlu","2015-08-08 12:43:33","closed","1","justinmayer","2015-08-08 16:12:36"
"1793","koobs","2015-08-07 04:46:17","closed","1","justinmayer","2015-10-10 21:50:00"
"1790","treyhunner","2015-07-31 19:08:50","open","2","",""
