"number","created_by","created_at","state","commits","merged_by","merged_at"
"1800","mrocklin","2016-11-21 14:38:29","closed","1","mrocklin","2016-11-21 18:03:34"
"1799","sinhrks","2016-11-21 13:46:08","closed","1","mrocklin","2016-11-21 16:23:44"
"1794","mrocklin","2016-11-18 15:12:57","closed","16","mrocklin","2016-11-19 01:56:21"
"1792","martindurant","2016-11-17 15:22:38","closed","5","mrocklin","2016-11-30 13:14:14"
"1788","mrocklin","2016-11-16 23:30:29","closed","1","mrocklin","2016-11-17 00:34:16"
"1787","jcrist","2016-11-16 21:35:48","closed","8","jcrist","2016-11-21 16:58:07"
"1782","mrocklin","2016-11-14 21:55:26","closed","8","mrocklin","2016-11-15 22:29:49"
"1781","mrocklin","2016-11-14 19:17:10","closed","1","mrocklin","2016-11-16 16:25:23"
"1779","mrocklin","2016-11-14 18:54:33","closed","1","",""
"1778","alexandercbooth","2016-11-13 01:48:49","closed","2","mrocklin","2016-11-13 13:44:59"
"1776","laliberte","2016-11-11 16:59:46","open","1","",""
"1775","jcrist","2016-11-11 16:53:37","closed","1","jcrist","2016-11-14 15:42:57"
"1774","mrocklin","2016-11-11 12:45:20","closed","9","",""
"1773","jcrist","2016-11-10 22:21:43","closed","1","jcrist","2016-11-14 15:43:06"
"1769","jcrist","2016-11-09 20:37:39","closed","5","jcrist","2016-11-10 01:14:27"
"1768","mrocklin","2016-11-09 13:57:07","closed","1","mrocklin","2016-11-09 14:22:14"
"1766","mrocklin","2016-11-08 13:56:06","closed","7","mrocklin","2016-11-10 18:21:37"
"1761","mrocklin","2016-11-04 20:24:19","closed","1","mrocklin","2016-11-06 12:15:14"
"1760","jcrist","2016-11-04 16:20:13","closed","1","jcrist","2016-11-04 18:21:28"
"1758","jcrist","2016-11-03 22:49:47","closed","1","jcrist","2016-11-05 06:22:04"
"1757","mrocklin","2016-11-03 19:41:57","closed","1","mrocklin","2016-11-04 14:51:16"
"1756","laliberte","2016-11-03 19:29:46","closed","17","mrocklin","2016-11-06 12:17:02"
"1755","jcrist","2016-11-03 17:48:46","closed","3","mrocklin","2016-11-08 14:15:46"
"1752","mrocklin","2016-11-03 15:12:44","closed","1","mrocklin","2016-11-04 12:34:51"
"1751","laliberte","2016-11-03 11:52:36","closed","13","",""
"1750","martindurant","2016-11-02 19:44:02","closed","25","",""
"1748","mrocklin","2016-11-02 18:02:07","open","1","",""
"1747","mrocklin","2016-11-02 14:50:06","closed","2","mrocklin","2016-11-02 19:00:37"
"1746","laliberte","2016-11-02 14:33:45","closed","7","",""
"1743","mrocklin","2016-11-01 19:28:20","closed","1","mrocklin","2016-11-02 12:46:45"
"1741","jorisvandenbossche","2016-11-01 18:32:11","closed","1","TomAugspurger","2016-11-01 20:58:32"
"1740","mrocklin","2016-11-01 16:39:34","closed","1","mrocklin","2016-11-01 18:46:55"
"1738","TomAugspurger","2016-10-31 21:47:38","closed","2","",""
