"number","created_by","created_at","state","closed_by","closed_at"
"1888","abast","2017-01-05 13:58:55","closed","jcrist","2017-01-09 20:40:04"
"1887","magonser","2017-01-05 13:27:08","open","",""
"1886","magonser","2017-01-04 14:56:41","closed","jcrist","2017-01-06 18:49:13"
"1885","arita37","2017-01-04 13:13:04","closed","mrocklin","2017-01-15 15:04:12"
"1884","abast","2017-01-04 12:32:17","closed","jcrist","2017-01-10 19:20:20"
"1883","epervago","2017-01-04 12:19:56","closed","jcrist","2017-01-31 00:20:55"
"1882","ernstki","2017-01-03 22:12:27","closed","mrocklin","2017-01-04 02:46:23"
"1881","rabernat","2017-01-03 20:30:49","open","",""
"1880","mrocklin","2017-01-03 17:37:13","open","",""
"1879","nirizr","2017-01-03 17:11:00","closed","mrocklin","2017-01-06 20:44:35"
"1878","jcrist","2017-01-03 07:23:39","closed","jcrist","2017-01-23 19:22:19"
"1877","jcrist","2017-01-03 07:03:38","closed","jcrist","2017-01-23 19:16:44"
"1876","p-himik","2017-01-01 19:33:09","closed","jcrist","2017-01-31 19:37:27"
"1875","mrocklin","2017-01-01 16:42:09","open","",""
"1874","mrocklin","2016-12-30 23:27:08","closed","mrocklin","2017-01-24 12:45:54"
"1873","robdmc","2016-12-30 16:44:48","open","",""
"1872","mrocklin","2016-12-29 22:38:19","closed","mrocklin","2016-12-29 23:12:56"
"1871","mrocklin","2016-12-29 22:16:06","closed","mrocklin","2016-12-29 23:13:08"
"1870","dojeda","2016-12-29 10:20:59","closed","mrocklin","2017-01-05 16:59:58"
"1869","mrocklin","2016-12-28 16:46:33","closed","mrocklin","2016-12-29 02:29:09"
"1868","markqiu","2016-12-28 06:55:51","closed","markqiu","2016-12-29 07:07:28"
"1867","mrocklin","2016-12-24 15:56:45","closed","mrocklin","2016-12-26 21:59:37"
"1866","mrocklin","2016-12-24 15:47:10","closed","mrocklin","2016-12-24 22:19:17"
"1865","mrocklin","2016-12-24 05:12:18","closed","mrocklin","2016-12-24 15:05:06"
"1864","mrocklin","2016-12-23 18:20:33","closed","mrocklin","2016-12-24 02:25:28"
"1863","mrocklin","2016-12-22 20:22:01","closed","mrocklin","2016-12-24 22:18:58"
"1862","mrocklin","2016-12-22 20:07:16","closed","mrocklin","2016-12-22 21:32:19"
"1861","DFuller134","2016-12-22 16:19:44","open","",""
"1860","mrocklin","2016-12-22 15:18:41","closed","mrocklin","2017-01-02 02:28:42"
"1859","mrocklin","2016-12-22 03:50:07","closed","mrocklin","2016-12-22 18:54:05"
"1858","mrocklin","2016-12-22 03:50:04","closed","mrocklin","2016-12-22 18:53:56"
"1857","jcrist","2016-12-22 00:19:10","closed","jcrist","2016-12-22 02:54:37"
"1856","abast","2016-12-20 11:27:11","open","",""
"1855","martindurant","2016-12-19 21:35:52","closed","mrocklin","2016-12-22 18:53:49"
"1854","dirkschneemann","2016-12-19 18:40:02","open","",""
"1853","abast","2016-12-19 01:31:43","open","",""
"1852","abast","2016-12-19 01:04:51","closed","abast","2017-01-25 17:58:16"
"1851","pitrou","2016-12-17 22:15:31","closed","mrocklin","2016-12-26 21:59:37"
"1850","chmp","2016-12-16 20:14:35","open","",""
"1849","stefanw","2016-12-15 15:17:57","closed","mrocklin","2017-01-04 02:46:23"
"1848","abast","2016-12-14 16:35:25","closed","abast","2017-01-04 15:38:20"
"1847","rainwoodman","2016-12-14 08:10:47","open","",""
"1846","strets123","2016-12-13 17:59:28","open","",""
"1845","abast","2016-12-13 17:00:07","closed","abast","2016-12-13 19:12:31"
"1844","jreback","2016-12-13 16:38:58","open","",""
"1843","martindurant","2016-12-13 15:43:52","closed","mrocklin","2016-12-16 15:15:25"
"1842","mrocklin","2016-12-13 15:14:47","closed","mrocklin","2016-12-16 16:23:52"
"1841","jreback","2016-12-12 20:19:40","open","",""
"1840","mrocklin","2016-12-11 13:21:41","closed","mrocklin","2016-12-28 15:45:33"
"1839","mrocklin","2016-12-11 01:18:54","open","",""
"1838","mrocklin","2016-12-09 04:10:16","closed","mrocklin","2016-12-11 01:19:03"
"1837","mrocklin","2016-12-08 20:42:16","closed","mrocklin","2017-01-05 16:56:25"
"1836","mrocklin","2016-12-08 15:08:23","closed","jcrist","2017-01-23 19:16:44"
"1835","jreback","2016-12-06 16:44:32","closed","mrocklin","2016-12-29 23:12:56"
"1834","pitrou","2016-12-06 00:36:46","open","",""
"1833","pitrou","2016-12-04 15:53:29","closed","pitrou","2016-12-05 22:46:51"
"1832","serazing","2016-12-02 13:58:33","closed","mrocklin","2017-01-05 16:55:51"
"1831","jcrist","2016-12-02 02:15:29","closed","jcrist","2016-12-07 16:40:53"
"1830","jcrist","2016-12-02 00:46:44","closed","jcrist","2016-12-02 01:18:53"
"1829","jcrist","2016-12-01 23:36:59","closed","jcrist","2016-12-07 16:41:39"
"1828","jcrist","2016-12-01 20:35:39","closed","jcrist","2016-12-01 21:26:09"
"1827","pitrou","2016-12-01 13:55:01","closed","mrocklin","2016-12-10 20:41:37"
"1826","jcrist","2016-12-01 00:09:54","closed","jcrist","2016-12-01 21:45:20"
"1825","mrocklin","2016-11-30 22:01:22","closed","mrocklin","2016-12-01 13:19:31"
"1824","mikegraham","2016-11-30 21:28:47","closed","mrocklin","2016-12-01 21:12:52"
"1823","mrocklin","2016-11-30 18:11:49","closed","mrocklin","2016-11-30 18:50:09"
"1822","mrocklin","2016-11-30 17:26:17","closed","mrocklin","2017-01-05 16:55:11"
"1821","mrocklin","2016-11-30 17:22:03","open","",""
"1820","mrocklin","2016-11-30 16:47:33","closed","jcrist","2016-12-07 16:40:56"
"1819","jcrist","2016-11-28 23:14:58","closed","TomAugspurger","2016-11-30 21:03:44"
"1818","jcrist","2016-11-28 18:10:01","closed","jcrist","2017-01-17 21:30:08"
"1817","stuartarchibald","2016-11-28 16:41:36","closed","jcrist","2016-11-28 18:11:51"
"1816","fonnesbeck","2016-11-28 15:11:12","open","",""
"1815","mrocklin","2016-11-28 13:27:21","open","",""
"1814","evanbiederstedt","2016-11-27 02:27:26","closed","jcrist","2016-12-07 18:39:44"
"1813","rolando","2016-11-26 20:23:58","closed","mrocklin","2016-11-26 21:42:06"
"1812","esvhd","2016-11-26 03:40:40","closed","TomAugspurger","2016-11-30 21:03:44"
"1811","mrocklin","2016-11-25 13:46:37","closed","jcrist","2017-01-24 20:02:26"
"1810","mrocklin","2016-11-24 14:54:12","closed","mrocklin","2016-12-01 22:08:56"
"1809","nsharkey","2016-11-23 21:01:29","closed","jcrist","2016-12-07 16:41:39"
"1808","mrocklin","2016-11-23 19:59:29","closed","mrocklin","2016-11-30 17:13:57"
"1807","mrocklin","2016-11-23 15:29:19","closed","mrocklin","2016-11-29 13:47:09"
"1806","palcu","2016-11-22 22:22:28","open","",""
"1805","MortezaMoghadd","2016-11-22 21:51:54","closed","jcrist","2017-01-23 19:28:44"
"1804","evanbiederstedt","2016-11-22 20:31:02","closed","jcrist","2016-12-07 18:47:55"
"1803","chrisburr","2016-11-21 22:08:42","open","",""
"1802","abast","2016-11-21 16:35:42","closed","abast","2016-11-21 16:44:18"
"1801","grst","2016-11-21 16:22:26","closed","grst","2016-12-01 07:23:48"
"1800","mrocklin","2016-11-21 14:38:29","closed","mrocklin","2016-11-21 18:03:34"
"1799","sinhrks","2016-11-21 13:46:08","closed","mrocklin","2016-11-21 16:23:44"
"1798","areshytko","2016-11-20 11:37:17","open","",""
"1797","jakirkham","2016-11-19 22:41:22","open","",""
"1796","mrocklin","2016-11-19 16:35:57","closed","jcrist","2016-11-30 22:41:46"
"1795","mrocklin","2016-11-19 02:18:58","closed","jcrist","2017-01-30 16:17:08"
"1794","mrocklin","2016-11-18 15:12:57","closed","mrocklin","2016-11-19 01:56:21"
"1793","ptulpen","2016-11-18 10:37:16","open","",""
"1792","martindurant","2016-11-17 15:22:38","closed","mrocklin","2016-11-30 13:14:14"
"1791","philippjfr","2016-11-17 14:51:15","closed","jcrist","2016-12-01 21:45:20"
"1790","martindurant","2016-11-17 00:04:19","closed","mrocklin","2016-11-30 13:14:14"
"1789","jbednar","2016-11-16 23:32:22","closed","jcrist","2016-11-16 23:37:09"
"1788","mrocklin","2016-11-16 23:30:29","closed","mrocklin","2016-11-17 00:34:17"
"1787","jcrist","2016-11-16 21:35:48","closed","jcrist","2016-11-21 16:58:07"
"1786","david-hoffman","2016-11-16 20:54:41","closed","jcrist","2016-11-23 16:28:31"
"1785","mrocklin","2016-11-16 20:41:51","closed","mrocklin","2016-11-19 01:56:21"
"1784","birbbit","2016-11-16 00:45:19","closed","birbbit","2016-12-02 01:16:49"
"1783","rmancy-smg","2016-11-15 23:56:44","closed","jcrist","2016-11-23 16:29:18"
"1782","mrocklin","2016-11-14 21:55:26","closed","mrocklin","2016-11-15 22:29:49"
"1781","mrocklin","2016-11-14 19:17:10","closed","mrocklin","2016-11-16 16:25:24"
"1780","rainwoodman","2016-11-14 19:13:15","closed","mrocklin","2016-11-16 16:25:24"
"1779","mrocklin","2016-11-14 18:54:33","closed","mrocklin","2016-11-15 00:43:30"
"1778","alexandercbooth","2016-11-13 01:48:49","closed","mrocklin","2016-11-13 13:44:59"
"1777","jakirkham","2016-11-11 21:54:50","open","",""
"1776","laliberte","2016-11-11 16:59:46","open","",""
"1775","jcrist","2016-11-11 16:53:37","closed","jcrist","2016-11-14 15:42:57"
"1774","mrocklin","2016-11-11 12:45:20","closed","mrocklin","2016-11-14 21:19:05"
"1773","jcrist","2016-11-10 22:21:43","closed","jcrist","2016-11-14 15:43:06"
"1772","bnaul","2016-11-10 19:41:07","closed","jcrist","2016-11-14 15:42:57"
"1771","mrocklin","2016-11-10 19:39:36","closed","jcrist","2016-11-10 19:44:13"
"1770","crusaderky","2016-11-10 01:07:43","open","",""
"1769","jcrist","2016-11-09 20:37:39","closed","jcrist","2016-11-10 01:14:27"
"1768","mrocklin","2016-11-09 13:57:07","closed","mrocklin","2016-11-09 14:22:14"
"1767","TMsangohan","2016-11-08 14:18:44","closed","mrocklin","2016-11-08 14:43:13"
"1766","mrocklin","2016-11-08 13:56:06","closed","mrocklin","2016-11-10 18:21:37"
"1765","JackKelly","2016-11-08 13:45:29","closed","jcrist","2016-11-10 01:14:27"
"1764","shoyer","2016-11-07 15:52:23","closed","mrocklin","2016-11-21 16:23:44"
"1763","mrocklin","2016-11-07 15:30:12","open","",""
"1762","shoyer","2016-11-07 05:05:14","open","",""
