"number","created_by","created_at","state","commits","merged_by","merged_at"
"1446","ner0x652","2015-05-25 07:44:18","closed","1","bdarnell","2015-05-25 14:24:22"
"1444","abdulmuradagha","2015-05-19 17:47:29","closed","1","",""
"1437","ly0","2015-05-04 07:26:46","closed","1","",""
"1436","alunduil","2015-05-03 14:53:06","closed","1","bdarnell","2015-05-08 03:03:27"
"1434","DriverX","2015-04-28 14:46:50","closed","6","",""
"1433","hallelujah-shih","2015-04-27 04:10:31","closed","0","",""
"1432","szweep","2015-04-24 14:50:41","closed","1","bdarnell","2015-04-29 01:12:10"
"1431","ajdavis","2015-04-24 13:32:43","closed","1","bdarnell","2015-04-24 14:01:30"
"1430","ajdavis","2015-04-24 13:26:22","closed","1","bdarnell","2015-04-24 13:51:15"
"1425","s0undt3ch","2015-04-20 14:48:25","closed","1","",""
"1423","ajdavis","2015-04-19 03:11:44","closed","2","bdarnell","2015-04-19 15:27:41"
"1422","ajdavis","2015-04-19 02:45:33","closed","2","bdarnell","2015-04-19 15:22:13"
"1421","ajdavis","2015-04-15 01:24:59","closed","3","bdarnell","2015-04-17 14:29:38"
"1419","kippandrew","2015-04-14 15:08:30","closed","2","bdarnell","2015-04-18 17:52:14"
"1418","mosquito","2015-04-13 23:30:18","closed","4","",""
"1417","ajdavis","2015-04-12 21:16:50","closed","1","bdarnell","2015-04-13 19:25:43"
"1416","ajdavis","2015-04-12 17:29:02","closed","1","bdarnell","2015-04-12 20:19:31"
"1412","abhinav","2015-04-07 18:58:25","closed","1","bdarnell","2015-04-09 02:10:04"
"1411","Liuchang0812","2015-04-05 12:09:24","closed","1","bdarnell","2015-04-08 03:53:29"
"1409","ajdavis","2015-04-04 13:08:49","closed","4","bdarnell","2015-04-10 16:46:56"
"1408","ajdavis","2015-04-04 12:40:24","closed","2","bdarnell","2015-04-10 16:46:47"
"1407","jorgecuesta","2015-04-02 17:52:59","closed","1","",""
"1406","legnaleurc","2015-04-02 15:49:49","closed","2","bdarnell","2015-04-18 22:41:53"
"1405","scipetr","2015-04-02 13:50:45","closed","0","bdarnell","2015-04-03 17:52:49"
"1401","ajdavis","2015-03-31 02:41:44","closed","1","bdarnell","2015-03-31 03:30:56"
"1399","martinhoefling","2015-03-29 15:24:32","closed","4","bdarnell","2015-04-19 16:53:54"
"1398","ajdavis","2015-03-27 10:23:32","closed","3","bdarnell","2015-03-28 15:14:21"
"1397","omribahumi","2015-03-26 14:37:21","closed","2","",""
"1396","ajdavis","2015-03-25 10:19:15","closed","3","bdarnell","2015-03-26 12:30:31"
"1394","ajdavis","2015-03-24 03:36:34","closed","2","bdarnell","2015-03-25 00:40:00"
"1393","imjustfly","2015-03-20 11:38:51","closed","1","",""
"1392","salientgreen","2015-03-19 14:21:18","closed","0","",""
"1388","arikfr","2015-03-18 13:51:53","closed","1","bdarnell","2015-03-18 14:32:34"
"1382","mgenti","2015-03-16 18:44:33","closed","1","bdarnell","2015-03-17 01:52:27"
"1381","ajdavis","2015-03-16 13:06:03","closed","1","bdarnell","2015-03-17 01:53:18"
"1380","ajdavis","2015-03-15 01:27:53","closed","5","bdarnell","2015-03-16 02:00:58"
"1379","mgenti","2015-03-13 18:03:22","closed","1","bdarnell","2015-03-13 22:45:00"
"1376","rutsky","2015-03-12 10:34:33","closed","1","bdarnell","2015-03-12 13:57:26"
"1375","rutsky","2015-03-11 13:56:04","closed","1","bdarnell","2015-03-11 14:49:26"
"1373","daftshady","2015-03-09 04:21:31","closed","1","bdarnell","2015-03-10 02:25:50"
