"number","created_by","created_at","state","closed_by","closed_at"
"1854","why2pac","2016-10-01 02:28:31","closed","bdarnell","2016-10-01 04:59:05"
"1853","protheine","2016-09-30 20:58:51","closed","ajdavis","2016-09-30 22:53:10"
"1852","bdarnell","2016-09-30 16:06:32","closed","ajdavis","2016-09-30 22:38:48"
"1851","mywaiting","2016-09-29 17:03:26","closed","bdarnell","2016-10-01 04:38:28"
"1850","ghost","2016-09-29 08:06:05","closed","bdarnell","2016-10-08 14:12:35"
"1849","realcr","2016-09-28 16:34:05","open","",""
"1848","zhwei820","2016-09-27 09:43:30","closed","zhwei820","2016-09-27 16:25:48"
"1847","cachedout","2016-09-26 14:09:47","closed","cachedout","2016-09-26 15:18:10"
"1846","michaelimfeld","2016-09-26 12:19:31","closed","bdarnell","2016-10-01 08:05:57"
"1845","quxiaowei","2016-09-25 16:43:13","closed","quxiaowei","2016-09-26 00:49:55"
"1844","ajdavis","2016-09-23 14:02:13","closed","bdarnell","2016-10-13 04:58:55"
"1843","dvigneshwer","2016-09-23 12:08:32","closed","ajdavis","2016-09-23 20:04:43"
"1842","Lookyan","2016-09-23 09:08:08","open","",""
"1841","JuniorJPDJ","2016-09-23 00:27:25","closed","ajdavis","2016-09-23 20:03:23"
"1840","leynos","2016-09-22 14:58:58","open","",""
"1839","MkrV","2016-09-21 22:58:58","closed","ajdavis","2016-09-22 01:19:23"
"1838","ajdavis","2016-09-21 19:50:00","closed","bdarnell","2016-09-22 13:29:13"
"1837","eliric","2016-09-21 05:40:30","closed","ajdavis","2016-09-21 16:57:46"
"1836","afg984","2016-09-20 19:47:37","open","",""
"1835","jie","2016-09-20 01:52:20","closed","ajdavis","2016-09-20 02:48:39"
"1834","taehunahn","2016-09-19 16:03:38","closed","bdarnell","2016-09-21 03:06:29"
"1833","serhatbolsu","2016-09-18 10:11:18","closed","bdarnell","2016-10-13 04:58:54"
"1832","justdoit0823","2016-09-18 09:31:22","open","",""
"1831","23233","2016-09-14 06:42:48","closed","bdarnell","2016-09-14 06:45:48"
"1830","Wall-ee","2016-09-14 03:35:59","closed","ajdavis","2016-09-14 03:36:39"
"1829","floostmodern","2016-09-13 16:06:03","closed","ajdavis","2016-09-21 18:48:07"
"1828","pyvim","2016-09-13 06:50:27","closed","bdarnell","2016-09-13 12:18:44"
"1827","fw0037","2016-09-13 01:02:51","closed","bdarnell","2016-09-13 02:05:31"
"1826","andrewyoung1991","2016-09-12 20:42:03","open","",""
"1825","samueldg","2016-09-09 01:44:27","closed","bdarnell","2016-09-11 12:17:28"
"1824","joshsziegler","2016-09-08 14:30:12","open","",""
"1823","SuminAndrew","2016-09-06 08:35:07","closed","bdarnell","2016-09-06 09:24:53"
"1821","lilydjwg","2016-09-05 10:06:55","closed","bdarnell","2016-09-11 12:00:15"
"1820","onovy","2016-09-04 11:59:03","open","",""
"1819","wonderay","2016-09-02 09:34:18","closed","bdarnell","2016-09-05 11:52:31"
"1818","zakkie","2016-09-02 06:12:20","closed","bdarnell","2016-09-05 13:08:01"
"1817","mivade","2016-08-31 12:17:55","open","",""
"1816","SuminAndrew","2016-08-31 12:00:03","closed","SuminAndrew","2016-09-06 08:35:48"
"1815","mike820324","2016-08-29 02:06:56","closed","ajdavis","2016-08-29 16:42:04"
"1814","HatBoy","2016-08-26 04:54:04","open","",""
"1813","thisisx7","2016-08-26 04:17:21","closed","bdarnell","2016-09-05 11:51:27"
"1812","thinkh","2016-08-25 06:43:19","open","",""
"1811","liujian883","2016-08-25 06:29:45","closed","bdarnell","2016-09-05 09:19:00"
"1810","adamrothman","2016-08-24 18:50:05","closed","bdarnell","2016-09-05 09:06:02"
"1809","lilydjwg","2016-08-24 14:48:02","closed","bdarnell","2016-09-11 12:00:15"
"1808","darabos","2016-08-24 14:40:12","closed","ajdavis","2016-08-24 19:28:01"
"1807","yuwenyong","2016-08-24 08:34:31","closed","yuwenyong","2016-08-25 00:55:26"
"1806","SuminAndrew","2016-08-22 10:41:17","closed","bdarnell","2016-12-17 04:18:43"
"1805","nvllsvm","2016-08-20 15:23:18","closed","bdarnell","2016-08-20 15:56:15"
"1804","gbraad","2016-08-20 02:02:05","closed","gbraad","2016-08-22 13:18:42"
"1803","mrocklin","2016-08-19 16:30:56","closed","bdarnell","2016-09-22 13:29:13"
"1802","Wall-ee","2016-08-18 15:19:02","closed","bdarnell","2016-08-19 03:31:12"
"1801","aShobhitSingh","2016-08-18 10:34:52","closed","bdarnell","2016-09-05 07:57:14"
"1800","aaron0x","2016-08-17 08:07:53","closed","bdarnell","2016-08-17 14:20:01"
"1799","dovy","2016-08-16 21:34:17","closed","dovy","2016-09-08 22:08:28"
"1798","anders-jansson","2016-08-14 13:57:40","open","",""
"1797","mivade","2016-08-12 14:57:39","closed","ajdavis","2016-08-14 19:17:58"
"1796","eromoe","2016-08-12 07:09:47","closed","eromoe","2016-08-12 07:17:07"
"1795","ajdavis","2016-08-11 19:26:17","closed","bdarnell","2016-08-12 00:50:02"
"1794","mivade","2016-08-10 20:08:46","closed","bdarnell","2016-08-12 13:59:13"
"1793","waynenilsen","2016-08-09 14:50:56","open","",""
"1792","samuelchen","2016-08-08 08:03:34","closed","ajdavis","2016-08-09 02:19:50"
"1791","levin-du","2016-08-08 06:26:43","open","",""
"1790","bdarnell","2016-08-05 19:34:40","closed","bdarnell","2016-08-15 01:00:22"
"1789","ldkxingzhe","2016-08-04 07:28:45","closed","ldkxingzhe","2016-08-04 15:10:45"
"1788","osmoc","2016-08-03 17:13:19","open","",""
"1787","mr-ping","2016-08-02 12:55:52","closed","ajdavis","2016-08-02 14:28:09"
"1786","mr-ping","2016-08-02 11:46:12","closed","ajdavis","2016-08-02 12:46:51"
"1785","eromoe","2016-08-02 06:44:57","closed","ajdavis","2016-08-02 12:49:19"
"1784","qwexvf","2016-07-31 14:31:20","closed","bdarnell","2016-08-01 01:52:30"
"1783","matee911","2016-07-27 14:14:33","closed","bdarnell","2016-07-27 18:47:56"
"1782","AaronOpfer","2016-07-26 18:46:20","closed","bdarnell","2016-09-05 08:06:52"
"1781","bdarnell","2016-07-26 04:04:21","closed","bdarnell","2016-07-26 14:05:10"
"1780","opoplawski","2016-07-25 22:47:34","closed","bdarnell","2016-07-26 14:05:10"
"1779","almarklein","2016-07-22 23:54:19","closed","almarklein","2016-08-19 23:29:39"
"1778","protoss-player","2016-07-22 19:38:47","closed","bdarnell","2016-07-25 01:35:46"
"1777","bdarnell","2016-07-22 18:31:07","closed","bdarnell","2016-07-23 16:13:51"
"1776","SuminAndrew","2016-07-21 13:18:00","closed","bdarnell","2016-07-25 00:52:23"
"1775","mikolajb","2016-07-20 17:00:42","closed","bdarnell","2016-07-25 00:58:54"
"1774","gbanas","2016-07-20 12:05:17","open","",""
"1773","vswamy","2016-07-20 00:07:26","closed","bdarnell","2016-12-13 02:31:29"
"1772","stiletto","2016-07-19 20:49:04","closed","bdarnell","2016-07-25 00:45:14"
"1771","stiletto","2016-07-19 20:29:34","closed","bdarnell","2016-07-25 00:45:13"
"1770","aheinz-fe","2016-07-19 14:32:29","closed","aheinz-fe","2016-07-22 18:39:53"
"1769","AaronOpfer","2016-07-13 14:40:50","closed","bdarnell","2016-09-05 08:06:51"
"1768","stefanoborini","2016-07-12 14:50:27","open","",""
"1767","makerj","2016-07-12 14:36:51","open","",""
"1766","onovy","2016-07-12 10:25:50","closed","bdarnell","2016-07-13 01:37:07"
"1765","tonal","2016-07-12 06:15:33","closed","ajdavis","2016-07-12 13:26:45"
"1764","tonal","2016-07-12 06:14:28","closed","ajdavis","2016-07-12 13:26:31"
"1763","DheerendraRathor","2016-07-11 09:57:47","closed","DheerendraRathor","2016-07-18 19:43:16"
"1762","geofurb","2016-07-08 08:49:35","closed","bdarnell","2016-07-08 11:41:27"
"1761","BastinRobin","2016-07-06 09:09:02","closed","bdarnell","2016-07-06 11:58:40"
"1760","giampaolo","2016-07-03 19:22:29","closed","bdarnell","2016-07-09 16:08:37"
"1759","BastinRobin","2016-07-01 13:21:18","closed","bdarnell","2016-07-01 15:36:47"
"1758","Ottunger","2016-06-29 17:40:58","closed","bdarnell","2016-07-15 01:20:03"
