"number","created_by","created_at","state","commits","merged_by","merged_at"
"2667","ddfisher","2017-01-10 01:49:12","closed","1","gvanrossum","2017-01-10 02:21:33"
"2666","ddfisher","2017-01-10 01:17:22","closed","1","gvanrossum","2017-01-13 21:09:57"
"2665","ddfisher","2017-01-10 00:25:09","closed","1","gvanrossum","2017-01-10 01:11:36"
"2664","gvanrossum","2017-01-10 00:21:39","closed","1","gvanrossum","2017-01-10 00:31:49"
"2660","gvanrossum","2017-01-09 18:04:50","closed","1","gvanrossum","2017-01-09 18:16:45"
"2659","gvanrossum","2017-01-09 16:37:41","closed","1","gvanrossum","2017-01-09 16:48:55"
"2658","gvanrossum","2017-01-09 16:19:45","closed","1","gvanrossum","2017-01-09 16:20:57"
"2656","ethanhs","2017-01-08 09:04:26","closed","6","gvanrossum","2017-01-09 16:22:11"
"2654","JelleZijlstra","2017-01-07 12:35:46","closed","3","gvanrossum","2017-01-09 17:20:37"
"2652","JelleZijlstra","2017-01-07 12:09:56","closed","1","gvanrossum","2017-01-07 17:09:55"
"2650","ambv","2017-01-07 01:26:35","closed","2","gvanrossum","2017-01-07 01:43:48"
"2649","ddfisher","2017-01-07 01:23:23","closed","1","",""
"2648","ddfisher","2017-01-07 00:01:32","closed","1","gvanrossum","2017-01-07 01:47:47"
"2642","ambv","2017-01-06 21:18:56","closed","2","gvanrossum","2017-01-06 21:29:32"
"2638","ambv","2017-01-05 07:17:43","closed","1","gvanrossum","2017-01-06 23:46:46"
"2637","ddfisher","2017-01-04 19:57:49","closed","2","gvanrossum","2017-01-09 17:10:03"
"2635","ambv","2017-01-04 09:35:20","closed","6","gvanrossum","2017-01-05 04:34:57"
"2634","elazarg","2017-01-04 00:00:24","closed","8","gvanrossum","2017-01-09 23:49:15"
"2633","ambv","2017-01-03 21:13:04","closed","1","gvanrossum","2017-01-03 21:45:31"
"2630","ddfisher","2017-01-03 18:09:13","closed","1","JukkaL","2017-01-03 18:38:38"
"2629","gvanrossum","2017-01-02 23:57:35","closed","1","gvanrossum","2017-01-03 19:30:17"
"2627","afrieder","2017-01-01 06:06:39","closed","4","gvanrossum","2017-01-11 04:47:55"
"2626","Michael0x2a","2017-01-01 05:28:43","open","3","",""
"2624","gvanrossum","2017-01-01 01:20:22","closed","1","gvanrossum","2017-01-01 01:41:10"
"2623","jstasiak","2016-12-31 17:15:00","closed","1","gvanrossum","2017-01-02 00:41:21"
"2622","achauve","2016-12-30 17:16:13","open","17","",""
"2621","rowillia","2016-12-30 02:36:34","open","2","",""
"2620","rowillia","2016-12-28 20:41:01","open","6","",""
"2618","euresti","2016-12-28 19:03:56","closed","1","gvanrossum","2016-12-29 18:29:23"
"2615","rowillia","2016-12-28 01:53:17","closed","2","gvanrossum","2017-01-03 21:54:30"
"2607","sixolet","2016-12-25 06:40:37","open","14","",""
"2606","gvanrossum","2016-12-24 17:33:24","closed","1","gvanrossum","2016-12-24 17:33:39"
"2605","ethanhs","2016-12-24 01:57:28","closed","1","",""
"2604","TrueBrain","2016-12-23 21:34:31","closed","2","",""
"2603","sixolet","2016-12-23 05:36:21","open","12","",""
"2602","rowillia","2016-12-23 00:59:37","closed","1","gvanrossum","2016-12-23 03:51:56"
"2596","ddfisher","2016-12-20 21:45:46","closed","1","JukkaL","2016-12-21 11:52:49"
"2595","ambv","2016-12-20 21:21:11","closed","0","",""
"2591","ambv","2016-12-19 22:08:50","closed","1","JukkaL","2016-12-22 14:05:41"
"2588","gvanrossum","2016-12-16 23:52:25","closed","1","gvanrossum","2016-12-17 00:00:33"
"2587","ddfisher","2016-12-16 23:33:17","closed","2","gvanrossum","2017-01-01 01:18:26"
"2584","z33ky","2016-12-15 21:37:35","closed","1","",""
"2583","gvanrossum","2016-12-15 21:35:10","closed","3","gvanrossum","2016-12-16 20:53:35"
"2579","JdeH","2016-12-15 09:43:13","closed","28","gvanrossum","2016-12-15 16:08:19"
"2578","JdeH","2016-12-15 09:14:49","closed","24","",""
"2577","gvanrossum","2016-12-15 00:39:03","closed","3","gvanrossum","2016-12-15 16:09:27"
"2575","gvanrossum","2016-12-14 19:50:08","closed","1","gvanrossum","2016-12-14 19:59:46"
"2574","gvanrossum","2016-12-14 17:44:26","closed","1","gvanrossum","2016-12-14 17:52:59"
"2573","gvanrossum","2016-12-13 21:33:07","closed","1","gvanrossum","2016-12-13 21:47:31"
"2572","gvanrossum","2016-12-13 19:46:39","closed","1","gvanrossum","2016-12-13 19:54:02"
"2571","FuegoFro","2016-12-13 19:29:44","closed","1","",""
"2568","gvanrossum","2016-12-13 18:07:41","closed","1","gvanrossum","2016-12-13 18:32:03"
"2562","t2y","2016-12-13 09:47:34","closed","1","gvanrossum","2016-12-13 15:36:49"
"2555","gvanrossum","2016-12-12 02:38:01","closed","7","",""
"2553","gvanrossum","2016-12-11 06:13:05","closed","7","gvanrossum","2016-12-14 17:27:48"
"2552","ilevkivskyi","2016-12-10 10:13:50","closed","7","gvanrossum","2016-12-14 16:38:28"
"2551","sixolet","2016-12-10 01:45:21","closed","1","",""
"2550","gvanrossum","2016-12-09 23:38:55","closed","3","gvanrossum","2016-12-12 19:07:02"
"2549","ethanhs","2016-12-09 21:53:25","closed","1","gvanrossum","2016-12-10 00:41:02"
"2548","ddfisher","2016-12-09 21:44:03","closed","1","gvanrossum","2016-12-10 00:42:11"
"2544","TRManderson","2016-12-09 12:56:12","closed","5","gvanrossum","2016-12-14 00:12:55"
"2543","TRManderson","2016-12-09 11:09:31","closed","3","gvanrossum","2016-12-13 00:00:57"
"2542","TRManderson","2016-12-09 10:49:20","closed","2","gvanrossum","2016-12-13 22:00:43"
"2540","ddfisher","2016-12-09 00:25:31","closed","9","gvanrossum","2016-12-09 19:09:00"
"2539","ethanhs","2016-12-08 19:07:40","closed","2","gvanrossum","2016-12-09 19:25:06"
"2527","ChrisOelmueller","2016-12-05 08:13:41","closed","1","JukkaL","2016-12-05 12:14:44"
"2526","davidfstr","2016-12-05 04:17:32","closed","2","JukkaL","2016-12-20 17:22:54"
"2524","Juanvulcano","2016-12-04 13:58:35","closed","2","gvanrossum","2016-12-09 19:40:06"
"2522","ddfisher","2016-12-02 23:10:30","closed","2","gvanrossum","2016-12-02 23:50:31"
"2521","sixolet","2016-12-02 02:41:39","closed","18","JukkaL","2016-12-22 18:39:40"
"2519","ddfisher","2016-12-01 23:14:45","open","1","",""
"2518","jboning","2016-12-01 04:11:56","closed","7","JukkaL","2016-12-07 02:34:39"
"2517","rowillia","2016-12-01 02:06:47","closed","2","JukkaL","2016-12-01 17:14:28"
"2516","ddfisher","2016-12-01 01:45:31","closed","1","ddfisher","2016-12-01 01:55:51"
"2513","gvanrossum","2016-11-30 22:51:52","closed","21","gvanrossum","2016-12-09 19:48:23"
"2510","TrueBrain","2016-11-30 00:51:37","closed","50","gvanrossum","2017-01-27 19:33:29"
