"number","created_by","created_at","state","commits","merged_by","merged_at"
"1790","Tarrasch","2016-07-28 11:43:16","closed","1","Tarrasch","2016-07-29 02:44:27"
"1789","javrasya","2016-07-28 06:46:00","closed","1","Tarrasch","2016-07-28 11:31:36"
"1788","daveFNbuck","2016-07-27 17:56:59","closed","2","",""
"1786","Tarrasch","2016-07-27 03:51:35","closed","2","Tarrasch","2016-07-28 02:10:19"
"1785","daveFNbuck","2016-07-27 00:19:12","closed","1","Tarrasch","2016-07-27 02:23:17"
"1784","daveFNbuck","2016-07-27 00:05:05","closed","9","Tarrasch","2016-08-12 02:40:56"
"1783","Tarrasch","2016-07-26 03:36:25","closed","1","erikbern","2016-07-26 03:38:09"
"1782","javrasya","2016-07-22 20:48:39","closed","31","",""
"1781","Tarrasch","2016-07-22 11:12:25","closed","1","Tarrasch","2016-07-25 03:30:24"
"1779","Lucas-C","2016-07-21 08:47:16","closed","1","Tarrasch","2016-07-28 02:29:15"
"1778","Tarrasch","2016-07-21 02:56:27","closed","1","Tarrasch","2016-07-22 10:19:27"
"1777","Tarrasch","2016-07-20 08:26:37","closed","1","Tarrasch","2016-07-20 09:24:25"
"1774","Tarrasch","2016-07-19 03:24:15","closed","1","Tarrasch","2016-07-20 08:27:15"
"1773","daveFNbuck","2016-07-18 20:47:04","closed","1","Tarrasch","2016-07-29 02:13:39"
"1772","Tarrasch","2016-07-18 09:38:46","closed","1","Tarrasch","2016-07-20 10:02:25"
"1771","fabriziodemaria","2016-07-18 09:08:50","closed","10","Tarrasch","2016-07-20 08:33:23"
"1770","walterhan","2016-07-17 21:54:18","open","2","",""
"1769","Jyrsa","2016-07-15 08:08:30","open","3","",""
"1767","Talmaj","2016-07-14 23:14:26","open","1","",""
"1766","Talmaj","2016-07-14 23:08:27","open","1","",""
"1762","darabos","2016-07-13 13:59:28","closed","2","Tarrasch","2016-07-14 02:48:22"
"1761","Tarrasch","2016-07-13 08:27:46","closed","1","Tarrasch","2016-07-13 10:27:10"
"1760","Tarrasch","2016-07-13 03:34:30","closed","1","Tarrasch","2016-07-13 04:44:15"
"1759","dlstadther","2016-07-12 16:58:09","closed","2","Tarrasch","2016-07-13 02:52:02"
"1757","Tarrasch","2016-07-11 07:58:19","closed","1","Tarrasch","2016-07-12 10:16:07"
"1756","Tarrasch","2016-07-11 07:57:43","closed","1","Tarrasch","2016-07-14 07:57:13"
"1755","Tarrasch","2016-07-08 11:18:10","closed","1","Tarrasch","2016-07-18 09:34:50"
