"number","created_by","created_at","state","closed_by","closed_at"
"1908","Tarrasch","2016-11-02 09:23:42","closed","Tarrasch","2016-11-04 02:13:40"
"1907","rizzatti","2016-11-02 07:41:59","closed","Tarrasch","2016-11-07 02:25:48"
"1906","mcapuccini","2016-11-01 17:04:56","open","",""
"1905","guyneedhamblis","2016-11-01 15:31:32","open","",""
"1904","chapeng","2016-10-31 02:54:42","open","",""
"1903","bertomartin","2016-10-28 16:18:26","open","",""
"1902","miku","2016-10-28 10:45:07","closed","Tarrasch","2016-10-31 02:38:35"
"1901","johmathe","2016-10-27 21:09:41","open","",""
"1900","joseEnrique","2016-10-27 14:03:15","open","",""
"1899","sklarsa","2016-10-25 21:42:02","closed","sklarsa","2016-11-05 21:34:43"
"1898","maksimt","2016-10-25 05:27:18","open","",""
"1897","ulzha","2016-10-24 15:15:34","open","",""
"1896","ukarlsson","2016-10-24 15:00:59","closed","Tarrasch","2016-12-16 02:12:21"
"1895","heuvel","2016-10-24 12:50:04","closed","heuvel","2016-11-23 08:50:06"
"1894","jonathanng","2016-10-23 23:13:13","open","",""
"1893","kayibal","2016-10-22 16:57:14","closed","kayibal","2016-10-22 17:01:12"
"1892","Tarrasch","2016-10-21 03:53:32","closed","Tarrasch","2017-01-11 02:33:41"
"1891","ibbycurb","2016-10-20 20:26:45","closed","ibbycurb","2016-11-11 00:48:55"
"1890","jonathanng","2016-10-19 23:40:24","closed","Tarrasch","2016-10-20 02:01:54"
"1889","dewet22","2016-10-19 12:40:11","open","",""
"1888","ulzha","2016-10-19 07:59:34","closed","ulzha","2016-11-18 08:21:04"
"1887","dewet22","2016-10-18 15:07:38","open","",""
"1886","nmandery","2016-10-15 08:01:47","closed","Tarrasch","2016-10-20 06:41:53"
"1885","oivoodoo","2016-10-14 17:37:11","open","",""
"1884","mfcabrera","2016-10-14 13:04:50","open","",""
"1883","ulzha","2016-10-14 07:44:44","closed","ulzha","2016-11-16 18:13:02"
"1882","ulzha","2016-10-14 07:31:19","closed","ulzha","2016-10-14 10:29:39"
"1881","ukarlsson","2016-10-13 13:50:27","closed","Tarrasch","2016-10-19 10:16:15"
"1880","Tarrasch","2016-10-13 03:03:19","closed","Tarrasch","2016-10-21 03:59:37"
"1879","rudaoshi","2016-10-12 03:18:21","open","",""
"1878","matt-miller","2016-10-11 18:11:45","closed","Tarrasch","2016-10-13 02:56:34"
"1877","miku","2016-10-08 11:17:28","closed","Tarrasch","2016-10-25 02:28:27"
"1876","nmandery","2016-10-08 06:38:45","closed","nmandery","2016-10-15 08:01:20"
"1875","impguard","2016-10-07 20:33:07","closed","dlstadther","2017-02-14 19:49:04"
"1874","easherma","2016-10-07 16:44:18","open","",""
"1873","tps-minwood","2016-10-06 19:14:20","open","",""
